bookUrl,origin,originName,type,name,author,kind,coverUrl,intro,wordCount,latestChapterTitle,tocUrl,time,variable,originOrder,chapterWordCountText,chapterWordCount,respondTime
https://manwane.cc/video/19665,https://manwane.cc#大改,🔞漫蛙动漫,4,一人之下第二季日语版,"曹云图,小连杀,彭尧,宝木中阳,张杰,山新,藤新,图特哈蒙,张遥函,张云明,陈张太康,张震,TK","喜剧,动作,动画,奇幻",https://mwdm.mwtt.cc/202601/cover/19665.jpg,这个世界是存在异人的。刚刚接触异人世界的张楚岚，加入了管理异人的组织“哪都通”。为了解开爷爷和自身的秘密，张楚岚和冯宝宝一起前往龙虎山天师府参加异人界的盛会——罗天大醮，并与众多异人高手对战。,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/26414,https://manwane.cc#大改,🔞漫蛙动漫,4,惹火狂妃：王爷放肆宠 第二季,,"中国动漫,动漫",https://mwdm.mwtt.cc/202601/cover/26414.jpg,世代相传的诅咒，他注定孤独一生，可却偏偏遇上了苏流安那个妖孽。他一人之下，呼风唤雨，却在追妻路上掉了节操......,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/15304,https://manwane.cc#大改,🔞漫蛙动漫,4,史上最强,"江三二,王心语,王晶,孙露,张旭月","动态漫,热血,战斗,科幻",https://mwdm.mwtt.cc/202601/cover/15304.jpg,未来的科技，复活历史上的16路英雄猛将，誓要决出史上最强！是武圣关云长、还是西楚霸王项羽，是一人之下的吕奉先，还是满洲第一勇士鳌拜？两两对决，生死格斗，最终获胜者，将会获得一个愿望！,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/25788,https://manwane.cc#大改,🔞漫蛙动漫,4,史上最强 动态漫画,,中国动漫,https://mwdm.mwtt.cc/202601/cover/25788.jpg,未来的科技，复活历史上的16路英雄猛将，誓要决出史上最强！是武圣关云长、还是西楚霸王项羽，是一人之下的吕奉先，还是满洲第一勇士鳌拜？两两对决，生死格斗，最终获胜者，将会获得一个愿望！冲突越发激烈频繁，但是不管是实...,,,,1787641916764,,67,,-1,-1
https://manwane.cc/video/14066,https://manwane.cc#大改,🔞漫蛙动漫,4,一人一驴一狗去修仙,,动画,https://mwdm.mwtt.cc/202601/cover/14066.jpg,暂无简介,,,,1787641916764,,67,,-1,-1
https://api.bilibili.com/pgc/view/web/season?season_id=22082,哔哩哔哩,🎥哔哩哔哩,8,一人之下第二季 日语版,,",,,,,,,,,,,🎬国创,,,,7.9分,,中国大陆,,",http://i0.hdslb.com/bfs/bangumi/d38589b545840ccbd65e69fe122767af1d624a55.jpg,"这个世界是存在异人的。张楚岚为了解开爷爷和自身的秘密，和冯宝宝一起前往龙虎山天师府参加异人界的盛会——罗天大醮，并与众多异人高手对战。
...",,2018/01/11 16:00,,1787641916787,"{
  ""cid"": """"
}",58,,-1,-1
https://api.bilibili.com/pgc/view/web/season?season_id=6402,哔哩哔哩,🎥哔哩哔哩,8,一人之下 第二季,,",,,,,,,,,,,🎬国创,,,,9.5分,,中国大陆,,",http://i0.hdslb.com/bfs/bangumi/f4e355ac82b4508e26f1883e92320879151453a7.jpg,"这个世界是存在异人的。张楚岚为了解开爷爷和自身的秘密，和冯宝宝一起前往龙虎山天师府参加异人界的盛会——罗天大醮，并与众多异人高手对战。
...",,2017/10/26 16:00,,1787641916801,"{
  ""cid"": """"
}",58,,-1,-1
https://api.bilibili.com/pgc/view/web/season?season_id=5210,哔哩哔哩,🎥哔哩哔哩,8,一人之下 日语版,,",,,,,,,,,,,🎬国创,,,,7.8分,,中国大陆/日本,,",http://i0.hdslb.com/bfs/bangumi/6d40f31e04799d1512e92925980765157fe7e889.jpg,这个世界是存在异人的。 张楚岚就是一个隐藏在普通人中的异人。在生命的前19年中，他一直小心隐藏着自己和别人的不同。直到有一天，神秘少女冯宝宝找上了他。从此他被活尸追，被怪人砍，被卷入了前所未见的麻烦之...,,2016/07/07 16:00,,1787641916817,"{
  ""cid"": """"
}",58,,-1,-1
https://api.bilibili.com/pgc/view/web/season?season_id=48009,哔哩哔哩,🎥哔哩哔哩,8,异人之下,,",,,,,,,,,,,🎬电影,,,,剧情/动作/奇幻/爱情,中国大陆,,",https://i0.hdslb.com/bfs/bangumi/image/4cdc905e68ad04d053b276f4bac880d042489ee8.png,一直隐藏自己异人身份的张楚岚（胡先煦 饰），自从遇到身世神秘的冯宝宝（李宛妲 饰）后，便被卷入不同异人门派争斗的漩涡中。随着张楚岚是神秘功法“炁体源流”传人的秘密被公之于众，异人界围绕他展开了激烈...,,2024/07/25 16:00,,1787641916831,"{
  ""cid"": """"
}",58,,-1,-1
https://api.bilibili.com/x/space/wbi/acc/info?{{getWbiEnc({mid:3546572434442975})}},哔哩哔哩,🎥哔哩哔哩,8,异人之下游戏,异人之下游戏,",,,,👤用户,粉丝：44.84万,,,,,,,,,,,,,,",https://i0.hdslb.com/bfs/face/bb3cf0be4cf3df3841f74410fc375e97335c3b28.jpg,魔方工作室群3D格斗竞技新游,,,,1787641916843,"{
  ""cid"": """"
}",58,,-1,-1
