09-25 05:30:55.956 48090 48090 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7ab3c14a2be0 in tid 48090 (Shutdown thread), pid 48090 (Shutdown thread)
09-25 05:31:10.142 48608 48608 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x76da432eabe0 in tid 48608 (Shutdown thread), pid 48608 (Shutdown thread)
09-25 05:31:22.723 48637 48637 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7759062aabe0 in tid 48637 (Shutdown thread), pid 48637 (Shutdown thread)
09-25 05:31:36.614 48692 48692 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7f0f3cc72be0 in tid 48692 (Shutdown thread), pid 48692 (Shutdown thread)
09-25 05:32:10.291 48752 48752 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x715cdf89ebe0 in tid 48752 (Shutdown thread), pid 48752 (Shutdown thread)
09-25 05:32:23.466 48798 48798 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7fd534ed8be0 in tid 48798 (Shutdown thread), pid 48798 (Shutdown thread)
09-25 05:32:39.481 48854 48854 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7bd85108fbe0 in tid 48854 (Shutdown thread), pid 48854 (Shutdown thread)
09-25 05:35:04.620 48922 48922 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x73943f492be0 in tid 48922 (Shutdown thread), pid 48922 (Shutdown thread)
09-25 05:35:09.962 48946 48946 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x77bf21e55be0 in tid 48946 (Shutdown thread), pid 48946 (Shutdown thread)
09-25 05:35:13.996 48969 48969 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7e7e202d4be0 in tid 48969 (Shutdown thread), pid 48969 (Shutdown thread)
09-25 05:35:18.027 48990 48990 F libc    : Fatal signal 7 (SIGBUS), code 2 (BUS_ADRERR), fault addr 0x771fec68dbe0 in tid 48990 (Shutdown thread), pid 48990 (Shutdown thread)
09-25 05:35:24.464 49012 49012 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x76c047456be0 in tid 49012 (Shutdown thread), pid 49012 (Shutdown thread)
09-25 05:35:39.380 49066 49066 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7f6abdad5be0 in tid 49066 (Shutdown thread), pid 49066 (Shutdown thread)
09-25 05:35:46.225 49107 49107 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7be80408cbe0 in tid 49107 (Shutdown thread), pid 49107 (Shutdown thread)
09-25 05:36:00.894 49159 49159 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7c79754b0be0 in tid 49159 (Shutdown thread), pid 49159 (Shutdown thread)
09-25 05:36:43.280 49251 49251 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7aa4380efbe0 in tid 49251 (Shutdown thread), pid 49251 (Shutdown thread)
09-25 05:37:09.418 49288 49288 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x78e14670cbe0 in tid 49288 (Shutdown thread), pid 49288 (Shutdown thread)
09-25 05:37:34.415 49322 49322 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7f73e2860be0 in tid 49322 (Shutdown thread), pid 49322 (Shutdown thread)
09-25 05:37:55.523 49374 49374 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x76a165666be0 in tid 49374 (Shutdown thread), pid 49374 (Shutdown thread)
09-25 05:38:09.413 49422 49422 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7247146dcbe0 in tid 49422 (Shutdown thread), pid 49422 (Shutdown thread)
09-25 05:38:22.688 49470 49470 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x743cabea7be0 in tid 49470 (Shutdown thread), pid 49470 (Shutdown thread)
09-25 05:39:00.965 49545 49545 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7cad9a073be0 in tid 49545 (Shutdown thread), pid 49545 (Shutdown thread)
09-25 05:39:16.185 49576 49576 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x7be515269be0 in tid 49576 (Shutdown thread), pid 49576 (Shutdown thread)
09-25 05:39:23.648 49612 49612 F libc    : Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x71335d314be0 in tid 49612 (Shutdown thread), pid 49612 (Shutdown thread)
原始 9211398068 字节 → 摘要 14059 字节，关键行 79 条
（全量为 05:03-05:39 的 logcat 捕获；关键签名计数见报告 §④：FATAL EXCEPTION=0 / ANR=0 / CHECK failed=0 / Fatal signal=79 全为 uiautomator 工具噪声（Shutdown thread SIGSEGV，无 app pid））
